名称,图片,系列,出荷时间,游览人数,定价,比例,评分,参考价格,现价
NXEDGE STYLE [MS UNIT] 高达巴鲁巴托斯 『机动戦士高达 鉄血的孤儿』,https://r.hpoi.net/gk/cover/n/2015/09/f078b8a0e5b14bda9599872c3ede8479.jpg?date=1441124801,NS,2016,4362,2700,1/100,4.25,162,250.48
MG 1/100 机动战士高达UC 新安州Ver.Ka ,https://r.hpoi.net/gk/cover/n/2015/07/5a7bb5fadb0e4c9e9a129d800954274f.jpg?date=1587020490,MG,2008,4361,7000,1/100,4.46,420,476.52
MG #161 机动战士高达SEED GAT-X303圣盾高达 ,https://r.hpoi.net/gk/cover/n/2020/04/66cee3c324854dc794e41916b5116c41.jpg?date=1588832321,MG,2012,4292,4800,1/100,4.24,288,414.91
MG 1/100 机动战士高达SEED Destiny  ZGMF-X10A 自由高达 电镀版,https://r.hpoi.net/gk/cover/n/2015/07/56dd9de82ac64f299c201d9ec35f0a27.jpg?date=1587105763,MG,2006,4277,8000,1/100,4.43,480,677.5
HG 机动战士高达SEED C.E.73 -观星者- 蔚蓝决斗高达,https://r.hpoi.net/gk/cover/n/2023/02/c82222a8364448a0a91d8266d83b07fe.jpg?date=1675824162,MG,2015,4274,1728,1/144,4.5,103.68,119.24
织田信长?愚者 愚者 神器装着型（织田信长机）,https://r.hpoi.net/gk/cover/n/2015/08/32f81d75be2b4d5f820caf56c91653f7.jpg?date=1439490881,HG,2014,4238,0,1/100,4,0,0
MG 机动战士高达NT MSN-06S 新安洲·原石（Narrative Ver.）,https://r.hpoi.net/gk/cover/n/2019/01/f9d5dda9fcaa4ff395e9001f99bc39fb.jpg?date=1588927964,SD,2019,4198,7500,1/100,4.63,450,597.9
MG 高达前哨战 MSA-0011[Ext] Ex-S高达／MSA-0011 S高达,https://r.hpoi.net/gk/cover/n/2019/01/a9dcd13851f54372b9b67be3cfacf283.jpg?date=1588927978,MG,2019,4192,12000,1/100,4.58,720,1184.09
MG 1/100 机动战士高达：逆袭的夏亚-贝托蒂嘉的子嗣,https://r.hpoi.net/gk/cover/n/2015/07/e35d8c1c49244ee0937c87fc02f6ff99.jpg?date=1607916004,MG,2008,4181,7000,1/100,4.33,420,659.85
BB战士 骑士独角兽高达,https://r.hpoi.net/gk/cover/n/2016/06/0f40287fdc0f4e85ac20c00d1de13d25.jpg?date=1466744915,SD,2015,4169,1080,1/100,4.27,64.8,95.72
HGUC 机动战士高达 第08MS小队 RX-79[G]Ez-8 Ez8高达,https://r.hpoi.net/gk/cover/n/2019/02/96b545a55e3a40abbb109ff565593b14.jpeg?date=1586340226,HG,2013,4161,1600,1/100,4.38,96,146.98
MG 机动战士高达SEED ZGMF-X10A 自由高达,https://r.hpoi.net/gk/cover/n/2015/07/2624abc7482642feb29836fc36ba413c.jpg?date=1648691285,MG,2007,4158,4104,1/100,4.23,246.24,319.64
HGBF 1/144 高达创展TRY XM-X1骷髅高达X1全武装型(高达创战者TRY样式),https://r.hpoi.net/gk/cover/n/2015/07/88958acbaf8d4a849287de9857f350e1.jpg?date=1612406650,HG,2015,4158,2376,1/100,3.67,142.56,118.31
超时空要塞Macross 1/72 ,https://r.hpoi.net/gk/cover/n/2015/08/1ab98779570045c49a0dc8906e6cff08.jpg?date=1439499077,其他,2013,4153,4860,1/100,4.5,291.6,260.8
MG 1/100 机动战士高达UC RGM-96X 杰斯塔,https://r.hpoi.net/gk/cover/n/2015/08/36a0fff466b44db9a7ef647b327c2738.jpg?date=1587377098,MG,2015,4153,4000,1/100,4.53,240,251.15
LMHG EVA初号机 F型装备,https://r.hpoi.net/gk/cover/n/2015/08/6cf73a71dc2d456d8d762de9d1efec9e.jpg?date=1439331616,HG,2015,4149,3240,1/100,4.25,194.4,211.5
MG  机动新世纪高达X DX高达,https://r.hpoi.net/gk/cover/n/2021/03/42377f88f2514f5d9371ceac2eb1ceca.jpeg?date=1673404218,HG,2015,4142,4800,1/100,4.32,288,322.2
HG00#63 1/144 机动战士高达00I CB-001.5 1.5高达,https://r.hpoi.net/gk/cover/n/2021/01/3f7b86b17448431a912f7766fac65130.jpg?date=1609745364,MG,2010,4138,1944,1/144,4.62,116.64,110.86
MG 1/100 MOBILE POD BALL 铁球（Ver.Ka）,https://r.hpoi.net/gk/cover/n/2015/07/12143ff7b3ed438891e1072c6ee46ab3.jpg?date=1436261983,HG,2009,4133,2160,1/100,4.54,129.6,111.01
RG 机动战士高达  MSM-07S 夏亚专用魔蟹,https://r.hpoi.net/gk/cover/n/2021/04/2587645e0d0e4edeb2569e28afc3ee73.jpg?date=1675840972,MG,2014,4117,2500,1/100,4.36,150,204.61
PG 机动战士高达00V战记   00高达七剑/G,https://r.hpoi.net/gk/cover/n/2018/12/4b36571978754d5391593e9d154b3f17.jpg?date=1670312637,RG,2018,4104,23000,1/100,4.38,1380,1647.95
HGUC#099 机动战士高达独角兽(UC)  NZ-666 刹帝利,https://r.hpoi.net/gk/cover/n/2021/04/c04c475017064fe485fc0df4d2250b5a.jpg?date=1619512091,PG,2009,4096,4500,1/100,4.44,270,250.52
HG 1/144 铁血的奥尔芬斯 ASW-G-08 巴巴托斯高达 第六形态,https://r.hpoi.net/gk/cover/n/2017/12/14585d8c23ed47838b720901ca112f74.jpg?date=1606122107,HG,2016,4090,1296,1/144,4.21,77.76,54.96
MG 1/100 机动战士高达UC  MSN-06N 新安州?原石 Ver.Ka,https://r.hpoi.net/gk/cover/n/2015/08/f84b66993c4846eeb2a237c8780e409d.jpg?date=1587377219,HG,2015,4090,7350,1/100,4.5,441,312.43
HG 机动战士高达 铁血的奥尔芬斯 月钢 月钢高达原型机,https://r.hpoi.net/gk/cover/n/2020/11/cf4f4605d6224d11b6c8313aaa87bbe2.jpg?date=1606125968,MG,2016,4078,1512,1/144,4.12,90.72,66.3
"MG 1/100 机动战士高达UC  RX-0 独角兽高达 Ver. Ka, Titanium Finish",https://r.hpoi.net/gk/cover/n/2015/07/b4f72b24418a409399380767eb95742d.jpg?date=1587901488,HG,2009,4065,8000,1/100,4.27,480,656.77
MG  新机动战记高达W 无尽的华尔兹 零式飞翼高达[交叉对比色/ 透明紫],https://r.hpoi.net/gk/cover/n/2023/05/8675d5ae985d4ee4acf30a4b492d456e.png?date=1684725743,MG,2023,4047,0,1/100,3.82,0,0
HGBF 1/144  高达创战者：战斗部落 CF-01 指挥官文奈(星野文奈),https://r.hpoi.net/gk/cover/n/2018/04/d94b0189f9da4ea1913646f36722570d.jpg?date=1611213980,MG,2021,4043,2400,1/144,3.33,144,221.9
SDCS 机动战士高达NT RX-0 独角兽高达3号机 菲尼克斯（毁灭模式）（Narrative Ver.）,https://r.hpoi.net/gk/cover/n/2018/12/218883ddf7474810a4be53ce4d5303f9.jpeg?date=1548610338,HG,2018,4038,1200,1/100,4.14,72,66.73
GUNDAM FIX FIGURATION METAL COMPOSITE RX-0,https://r.hpoi.net/gk/cover/n/2015/07/6e33f9a7511449999807868ffe02d5ad.jpg?date=1552015787,MG,2013,4030,21600,1/100,4.54,1296,1551.27
超时空要塞Macross 1/8000 超时空要塞强攻型,https://r.hpoi.net/gk/cover/n/2015/08/8519b417a73342fb8ef5056114a7ce76.jpg?date=1439499206,PG,2013,4022,756,1/100,4.5,45.36,58.03
KERORO军曹,https://r.hpoi.net/gk/cover/n/2015/08/82f166bab8dd41f7b825671a817b8bb5.jpg?date=1439695804,MG,2009,4019,4860,1/100,3.5,291.6,222.36
RG 机动战士高达UC RX-0 完美独角兽高达（BD限定附属版）,https://r.hpoi.net/gk/cover/n/2019/01/514529ad8b074366917bb9219faab095.jpg?date=1615533129,RG,2019,4016,65000,1/100,4.55,3900,3089.06
HG00#54 1/144 机动战士高达00 第二季 GN-0000 + GNR-010 00强化模组 +GN剑 III,https://r.hpoi.net/gk/cover/n/2020/12/637f5397e76e4b41bab73278f29d947d.jpg?date=1609399117,FRL,2015,4001,2160,1/100,4.5,129.6,100.38
BB,https://r.hpoi.net/gk/cover/n/2015/07/fd6edef1786141d9ae0c087654d3364c.jpg?date=1436247602,FIX,2011,3998,2700,1/100,4.33,162,130.44
HGUC 机动战士Z高达 MSZ-006 Z高达 Wave Shooter,https://r.hpoi.net/gk/cover/n/2018/04/20fc5ae596604919bd7324916a7f9465.jpg?date=1586242585,RG,2017,3988,2160,1/100,3.77,129.6,87.5
RG 高达SEED ASTRAY  MBF-P01-Re2 异端高达金色机“天”蜜娜,https://r.hpoi.net/gk/cover/n/2020/12/f18d49cf72dc435ea20c2eb91ce16218.jpg?date=1607592665,HG,2017,3978,2500,1/100,4.15,150,137.59
MG 机动战士高达SEED 神喻高达,https://r.hpoi.net/gk/cover/n/2023/03/cfedd1baf3564009851c04771ee98f59.jpg?date=1679381304,RG,2017,3977,5400,1/100,4.42,324,343.17
MG 1/100 机动战士高达UC RX-0 全装甲独角兽高达 Var.Ka,https://r.hpoi.net/gk/cover/n/2015/07/76380e4eb22549479d7326f20ce157f5.jpg?date=1608521405,MG,2015,3946,8000,1/100,4.2,480,526.06
RG 1/144 机动战士高达 RX-78-2 高达,https://r.hpoi.net/gk/cover/n/2020/12/607069f2e698450faf441fa864f9c31f.jpg?date=1607594185,MG,2015,3930,2500,1/144,4.08,150,199.11
MG 机动战士高达SEED VSASTRAY 异端高达蓝色机二型R,https://r.hpoi.net/gk/cover/n/2023/07/d3f11ac157e54d3eb06915feee3950be.jpg?date=1689731248,MG,2009,3926,5184,1/100,4.56,311.04,322.16
MG  机动战士高达SEED  迅雷高达,https://r.hpoi.net/gk/cover/n/2022/07/ff3aef1697f7422e87f8f376fae2377d.jpg?date=1657597783,FIX,2012,3919,4000,1/100,4.35,240,362.44
"MG 	机动战士高达UC  MSN-06S 新安州 Anime ver.",https://r.hpoi.net/gk/cover/n/2016/06/d2dfcb956d914578a822b5b5f1c2a3cf.jpg?date=1587452564,HG,2013,3915,7500,1/100,4.29,450,722.46
HG 1/144 机动战士高达 铁血的奥尔芬斯 STH-14s 百里,https://r.hpoi.net/gk/cover/n/2020/11/cdea01dc5e4d40b493853f7595f9a9ab.jpg?date=1605864310,PG,2015,3910,1296,1/144,3.4,77.76,75.6
HGUC 1/144 AMS-129 机动战士高达UC  AMS-129 基拉·祖鲁（安杰洛·梭裴专用机）,https://r.hpoi.net/gk/cover/n/2015/07/e482b647da2046139a0c0f2f34f89788.jpg?date=1586513440,RG,2010,3906,2200,1/100,3.83,132,204.97
MG 新机动战记高达W 无尽的华尔兹  杜鲁基斯,https://r.hpoi.net/gk/cover/n/2023/02/a3a4745080f4491d83aea331b91c3f7a.jpg?date=1675838192,MG,2013,3880,3800,1/100,4,228,283.28
HG00#26 1/144 机动战士高达00 第二季 GN-008 炽天使高达,https://r.hpoi.net/gk/cover/n/2020/12/212fef1391db48baa910e60940378f75.jpg?date=1609385465,MG,2008,3872,1728,1/100,4.67,103.68,152.31
HG 1/144 高达创战者 罗安格凛子太太 大天使号 高达,https://r.hpoi.net/gk/cover/n/2020/12/8ade1f5e1a994763b20583c847f96aa6.jpg?date=1608112428,MG,2018,3856,2700,1/100,4.33,162,186.78
RG 1/144 机动战士高达SEED Destiny ZGMF-X42S 命运高达,https://r.hpoi.net/gk/cover/n/2015/07/76014477173c4d48a3389b298885c0f3.jpg?date=1589188224,HG,2015,3846,2500,1/144,4.08,150,206.32
BB,https://r.hpoi.net/gk/cover/n/2015/07/f18dcf351f2648a2b86648fc6a60d805.jpg?date=1436244769,MG,2003,3841,1620,1/100,4.5,97.2,117.1
NXEDGE STYLE 蓝异端L,https://r.hpoi.net/gk/cover/n/2015/10/858f8a0e45464cf89bea49ce118835bf.jpg?date=1446140432,其他,2016,3812,3240,1/100,4.57,194.4,133.78
HGBF#041 1/10 高达创战者TRY SF-01 超级文奈,https://r.hpoi.net/gk/cover/n/2021/01/13949d7b6c0c43b38a82064f16bcec93.jpg?date=1611294914,其他,2021,3806,1800,1/100,3.5,108,129.74
MG 机动战士高达00 00高达七剑/G,https://r.hpoi.net/gk/cover/n/2015/07/2499c01a8327456cb71cfb00d1f60b2b.jpg?date=1670312560,其他,2011,3801,5500,1/100,4.51,330,445.69
HGCE 1/144 机动战士高达SEED ZGMF-X10A 自由高达 新生版,https://r.hpoi.net/gk/cover/n/2020/05/fd1875efc92d4a2485a6ed18e090ac58.jpeg?date=1609227387,PG,2015,3775,1800,1/100,4.05,108,104.94
MG 机动战士高达：一年战争 高达 动画配色,https://r.hpoi.net/gk/cover/n/2023/05/19bcfdc9e16a47778601bdcf647702ba.jpg?date=1684807430,PG,2015,3766,3200,1/100,4.4,192,189
MG 1/100 强袭自由高达 Extra,https://r.hpoi.net/gk/cover/n/2015/07/32be8b5367264e1b918afeb11b220925.jpg?date=1436341681,MG,2008,3742,"10,800）",1/100,4.43,#VALUE!,#VALUE!
HGM 机动战士高达0083：星尘的回忆 AMX-002 路维·捷露,https://r.hpoi.net/gk/cover/n/2021/04/6c8f847c15bf44798139929a9e9e5af5.jpg?date=1617342606,PG,2021,3731,1200,1/100,4.23,72,111.5
MG 1/100 机动战士高达 战记 U.C. 0081 FA-78-1 全装甲高达,https://r.hpoi.net/gk/cover/n/2015/07/978fab4ca9244d97b480f08ca0343aaa.jpg?date=1587105980,MG,2010,3729,5000,1/100,4.29,300,230.93
PG 机动战士高达00 GN-001能天使高达 Lighting Model ,https://r.hpoi.net/gk/cover/n/2019/08/23f6167996924a55975505c14d821b79.jpg?date=1565928904,RG,2017,3725,32000,1/100,4.85,1920,2235.39
MG  机动战士V高达  V2高达 Ka版,https://r.hpoi.net/gk/cover/n/2020/04/c40a26a42712449f8971578d093c3d7b.jpg?date=1643252780,MG,2015,3710,4500,1/100,4.12,270,392.54
NXEDGE STYLE [MS UNIT] 命运高达 『高达SEED DESTINY』,https://r.hpoi.net/gk/cover/n/2015/07/1bb7390db1c24a79a1235931f548bdb2.jpg?date=1436260231,MG,2015,3703,2700,1/100,4.8,162,145.81
RE/100 机动战士高达 逆袭的夏亚 贝托蒂嘉的子嗣 夜莺,https://r.hpoi.net/gk/cover/n/2015/07/3e6c34b757cc437ca43d91b100853598.jpg?date=1675825285,MG,2014,3702,8640,1/100,3.55,518.4,601.27
"MG 	机动战士高达AGE 高达AGE-2 标准型 特务队样式",https://r.hpoi.net/gk/cover/n/2022/10/03203ed143cb46659fb4beeee2e077c8.jpg?date=1665720017,RG,2023,3693,4620,1/100,4.52,277.2,246.78
HG  机动战士高达AGE 雷吉鲁斯高达,https://r.hpoi.net/gk/cover/n/2020/12/bbc7af4c23e341f2bebfb801a8baa1fa.jpg?date=1643161094,HG,2015,3690,1620,1/144,4.6,97.2,122.69
SDX 騎士高达 烈伝版 （通常ver.） （骑士高达）,https://r.hpoi.net/gk/cover/n/2015/07/2d572a6714404163917ab2e9ede33630.jpg?date=1436341804,RG,2008,3683,5076,1/100,5,304.56,312.83
GUNDAM FIX FIGURATION METAL COMPOSITE,https://r.hpoi.net/gk/cover/n/2015/07/709da401f6174a73be355aa4d7dc52cb.jpg?date=1552015724,RG,2015,3679,21600,1/100,4.65,1296,1164.54
MG 1/100 MSN-04 沙扎比,https://r.hpoi.net/gk/cover/n/2015/07/1a0b011c2ef84ecf918353568448c9ff.jpg?date=1436261816,MG,2000,3669,8640,1/100,4.39,518.4,458.09
HG 1/144 机动战士高达 铁血的奥尔芬斯 ASW-G-08 巴巴托斯高达 ＆ 长距离输送火精灵,https://r.hpoi.net/gk/cover/n/2020/11/d944b88371804ef7ae5a1c84613f8a70.jpg?date=1606120986,RG,2015,3661,5400,1/144,4,324,492.86
RG 漫画版 机动战士高达独角兽(UC)：BANDE DESSINEE RX-0 独角兽高达（Bande Dessinee Ver.）,https://r.hpoi.net/gk/cover/n/2021/04/37adf4b9ade64e5fad95d5a2ca1f72ee.jpg?date=1619677676,TV,2018,3661,4000,1/100,4.79,240,394.34
RG 机动战士高达 MS-06S 夏亚专用扎古,https://r.hpoi.net/gk/cover/n/2019/01/1b1c9cd5eba2495b8e84c08d59ff866d.jpg?date=1589268714,MG,2015,3635,2500,1/144,4.17,150,233.07
MG 1/100 机动战士高达SEED Destiny  ZGMF-X20A 强袭自由高达 Full Burst Mode,https://r.hpoi.net/gk/cover/n/2015/07/a8b7a604d2a440139b4e925ad42ad182.jpg?date=1586936188,RG,2015,3633,7560,1/100,4.42,453.6,607.22
PG 1/60 新机动战记高达W 无尽的华尔兹 XXXG-00W0 飞翼零式高达（EW版）Pearl Mirror Coat Ver.,https://r.hpoi.net/gk/cover/n/2015/07/0bbf2f044b644667b7656b64feb2f7fc.jpg?date=1589787506,RG,2007,3624,30000,1/60,3.55,1800,1488.72
HG00#37 1/144 机动战士高达00 第二季 GN-009 天使长高达,https://r.hpoi.net/gk/cover/n/2020/12/6be4f327e3194f3ba9c443b1a9bc091e.jpg?date=1609397974,MG,2009,3610,1080,1/144,4.57,64.8,83.45
RG  机动战士高达00V战记 能天使高达修复型III,https://r.hpoi.net/gk/cover/n/2019/03/ffbe0ae0fe244a75996de88b8da3584a.jpg?date=1589272971,MG,2019,3609,2800,1/100,4.29,168,192.42
RG 机动战士高达00V战记 00高达七剑/G检察者,https://r.hpoi.net/gk/cover/n/2019/02/a6c1a2b1dfc140dd90c5ca2227c7cd9d.jpg?date=1670313049,MG,2019,3600,3500,1/144,4.35,210,241.07
MG 机动战士高达NT RGM-96Xs 杰斯塔（Shezarr队式样 B＆C班装备）,https://r.hpoi.net/gk/cover/n/2019/01/f75f6dcdec20403d82597b1b45a6260f.jpeg?date=1588929187,MG,2019,3597,4800,1/100,4.55,288,414.65
LMHG 第13使徒巴迪尔,https://r.hpoi.net/gk/cover/n/2015/08/08736bb2274448589e7bb23a4f2693fb.jpg?date=1439331602,HIRM,2015,3587,2700,1/100,3,162,173.08
HGBF 1/144 高达创战者,https://r.hpoi.net/gk/cover/n/2020/12/137b0e5a312542cebe04d7c9fd5a9e8e.jpg?date=1607497999,MG,2015,3586,1944,1/100,4.36,116.64,157.96
RG 机动战士高达SEED ZGMF-X09A 正义高达,https://r.hpoi.net/gk/cover/n/2015/07/2a817862fe9f4efda3cf911e396db2bb.jpg?date=1652925264,MG,2012,3586,2500,1/100,3.97,150,160.74
HG RTX-65 钢坦克初期型,https://r.hpoi.net/gk/cover/n/2015/07/3b665f03ebba4a6eafbad603142e86ee.jpg?date=1453700228,PG,2015,3580,1836,1/144,4.53,110.16,112.62
"HiRM 新机动战记高达W 无尽的华尔兹 	XXXG-00W0 零式飞翼高达",https://r.hpoi.net/gk/cover/n/2017/06/424d666005ff4b0580fbb44536f80d08.jpg?date=1669105828,HG,2017,3578,12960,1/100,4.37,777.6,607.75
MG 1/100 机动战士高达 C.D.A. 年轻彗星的肖像 RX-78-3 G3高达＆FF-X7 核心战机,https://r.hpoi.net/gk/cover/n/2020/04/5ff19b8371c94a4dbdfaabcc72c77779.jpg?date=1587460784,MG,1996,3572,2500,1/100,5,150,205.35
MG 1/100 机动战士高达UC RX-0 独角兽高达2号机 报丧女妖,https://r.hpoi.net/gk/cover/n/2020/04/a78113e0138247548a6481e8d55ff119.jpg?date=1587373058,MG,2012,3572,5500,1/100,4.09,330,270.52
HGUC 机动战士高达UC  RGM-96X 杰斯塔,https://r.hpoi.net/gk/cover/n/2016/01/ba85b2b884a84bca941a04da66f6a71d.jpg?date=1586503180,其他,2011,3563,1600,1/100,4.53,96,70.96
MG 1/100 机动战士高达SEED Destiny ZGMF-X42S 命运高达,https://r.hpoi.net/gk/cover/n/2015/07/774a463d1e034929b886d2c6dc39195e.jpg?date=1587108486,HG,2007,3560,5040,1/100,4.12,302.4,225.73
MG 1/100 RX-78-2 高达 Ver.1.5,https://r.hpoi.net/gk/cover/n/2015/07/4b2ddb7966d34c5c9618f731bcf83883.jpg?date=1594194487,MG,2000,3544,3240,1/100,4.6,194.4,207.63
HGUC 1/144 机动战士高达UC  RX-160S 拜亚兰特装型,https://r.hpoi.net/gk/cover/n/2015/07/721833b9b82b49769274c9a1b7deb3a2.jpg?date=1586418395,HG,2015,3539,2600,1/100,4.72,156,236.01
HG 魔神 Z / Infinity (2018) 魔神Ｚ,https://r.hpoi.net/gk/cover/n/2019/09/2d88cc7987364239bd9e7754516b1652.jpeg?date=1617357809,HG,2018,3536,3500,1/100,4.38,210,291.28
"PG 1/60 	机动战士Z高达  MSZ-006 Z高达",https://r.hpoi.net/gk/cover/n/2015/07/5e52f45b8b4e41f1ac3a8e1e59dbd0a2.jpg?date=1589790393,PG,2015,3519,20000,1/60,4.5,1200,1822.28
MG 1/100 机动战士高达00 GN-001 能天使高达,https://r.hpoi.net/gk/cover/n/2015/07/1d11331e009248c5835bd69333119828.jpg?date=1587021482,MG,2009,3507,3860,1/100,4.32,231.6,302.23
HGCE 机动战士高达 SEED GAT-X105+AQM/E-X01 翔翼型强袭高达,https://r.hpoi.net/gk/cover/n/2015/08/03645c2833284a4ea45972d899e6c405.jpg?date=1637286423,HG,2015,3504,1300,1/144,4.41,78,98.82
HG 1/144 机动战士高达 铁血的奥尔芬斯 第二季 ASW-G-08 巴巴托斯高达 天狼座 帝王形态,https://r.hpoi.net/gk/cover/n/2020/11/ae667c45bb5d4c94a913be56ed24a325.jpg?date=1608485518,HG,2017,3493,1512,1/144,4.12,90.72,98.55
MG 高达创形者 GBWC RB-79PP 多足铁球,https://r.hpoi.net/gk/cover/n/2019/02/ada125f69f464e7ebd3a12e71c368f82.jpg?date=1588833444,MG,2019,3492,3000,1/100,4.5,180,220.98
MG 1/100 MBF-02 嫣红强袭高达,https://r.hpoi.net/gk/cover/n/2015/07/f0266e778a0a43b18730ef4bd3a19be0.jpg?date=1436261978,HG,2004,3485,4320,1/100,4.21,259.2,424.92
HGI-BO 1/144 机动战士高达 铁血的奥尔芬斯 月钢 ASW-G-29 复兴型亚斯塔禄高达,https://r.hpoi.net/gk/cover/n/2020/11/952a00553e8f4b44a166843d3cac3358.jpg?date=1606889907,其他,2017,3485,1944,1/144,3.93,116.64,87.83
LMHG EVA初号机,https://r.hpoi.net/gk/cover/n/2015/08/f3c166c0b2ee4f16b7a76b50a498d126.jpg?date=1439502683,RG,2015,3483,4104,1/100,3.6,246.24,374.35
MG 1/100 机动战士高达 MS-06S 指挥官用型扎古II Ver.2.0,https://r.hpoi.net/gk/cover/n/2015/07/e06695ba40ba4724b8b0769e09d80202.jpg?date=1587024604,HG,2008,3474,3500,1/100,4.7,210,177.86
Super Mini-Pla 勇者王GaoGaiGar 积打王,https://r.hpoi.net/gk/cover/n/2017/08/7137d435052946efb7e7d18fc95d7e6d.jpg?date=1597823811,SD,2017,3468,12000,1/100,5,720,1012.44
HG 1/144 机动战士高达 铁血的奥尔芬斯 STH-05 百炼(阿米达机),https://r.hpoi.net/gk/cover/n/2020/11/1a52463d2d44441ca560b1171cb10c00.jpg?date=1605864024,HG,2015,3462,1296,1/144,3.33,77.76,108.71
HGBF,https://r.hpoi.net/gk/cover/n/2015/07/a35c3c3247fb4803a548b0eb44baa225.jpg?date=1436344461,HG,2015,3458,2592,1/144,4.09,155.52,239.37
EX MODEL EX-34  机动战士高达MS IGLOO 一年战争秘史  斗狼,https://r.hpoi.net/gk/cover/n/2022/08/6c747607507044cb9e6fde3cbff9018d.png?date=1661331830,MG,2023,3455,7480,1/100,4.63,448.8,557.89
HGUC ADVANCE OF Z 提坦斯的旗下 ORX-005 贾普兰TR-5［Hrairoo］,https://r.hpoi.net/gk/cover/n/2019/02/38e2a6f750aa49989ef6bdda3e41f959.jpg?date=1586765996,HG,2019,3428,2400,1/144,4.48,144,132.07
RG 1/144 机动战士Z高达  RX-178 高达Mk-II Titans Ver.,https://r.hpoi.net/gk/cover/n/2015/07/ece4f8a24a7c4c89969cf5391c6a8ebc.jpg?date=1589264857,RG,2012,3426,2500,1/100,4.49,150,164.41
GFFN  机动战士Z高达系列 ZII,https://r.hpoi.net/gk/cover/n/2023/02/dd3f1b4991e2465cad695d98851f3570.jpg?date=1676860398,RG,2009,3421,8424,1/100,4.2,505.44,355
GUNDAM FIX FIGURATION METAL COMPOSITE 精神力高达Mk-II,https://r.hpoi.net/gk/cover/n/2015/07/c833191a34f74b9183def9924805e8f0.jpg?date=1552016080,PG,2013,3414,17280,1/100,4.25,1036.8,813.34
MG 1/100 机动战士高达 MS-06F扎古II ver.2.0,https://r.hpoi.net/gk/cover/n/2015/08/07a9b07712ec4a0a8cb6f9d16be2106f.jpg?date=1587021803,HG,2015,3407,3500,1/100,4.61,210,279.19
MG 1/100 机动战士高达 逆袭的夏亚 RGZ-91 灵格斯,https://r.hpoi.net/gk/cover/n/2015/07/a0a489f192ea4c618692d6c3c34b04da.jpg?date=1587111736,MG,2001,3400,4000,1/100,3.67,240,294.26
1/100 高达SEED DESTINY 妮柯斯,https://r.hpoi.net/gk/cover/n/2015/07/83477cf69297457683a097da243b66b8.jpg?date=1436244936,SD,2009,3399,2700,1/100,4.5,162,111.08
LMHG EVA初号机 破Ver.,https://r.hpoi.net/gk/cover/n/2015/08/464c6c6a8aeb4733a01cb95047679618.jpg?date=1439502922,HG,2015,3381,4104,1/100,4.5,246.24,213.8
HGBF  高达创战者TRY 神木燃焰高达,https://r.hpoi.net/gk/cover/n/2023/07/d607d704755c4a70900950555f004f9b.jpeg?date=1688547850,MG,2023,3371,1980,1/144,4.21,118.8,132.66
RG 1/144 高达创战者 GAT-X105B/FP 全装备型创制强袭高达,https://r.hpoi.net/gk/cover/n/2020/12/a78347fb70d741b482f958067d6ff5e4.jpg?date=1608108680,MG,2016,3370,2700,1/100,3.92,162,179.47
机械选 宇宙战舰大和号2199 No.19 次元潜航舰UX-01,https://r.hpoi.net/gk/cover/n/2015/08/b8fce8b3a54147d19f56a06a41481789.jpg?date=1439492688,FRL,2015,3356,432,1/100,4.5,25.92,26.49
MG 1/100 机动战士高达  RX-78-2 高达Ver.Ka,https://r.hpoi.net/gk/cover/n/2015/07/7851c2c0cc604aa5bf53b79787e42ce1.jpg?date=1586941721,HG,2009,3351,3200,1/100,4.06,192,304.6
HGPG,https://r.hpoi.net/gk/cover/n/2017/03/d186e891e0e843ea95f8b04d83dcd61c.jpg?date=1490284746,RG,2017,3345,972,1/144,4.5,58.32,71.79
"RG 机动战士高达0083 星尘的回忆 	RX-78GP01-Fb 高达试作1号机全方位推进型“玉帘”",https://r.hpoi.net/gk/cover/n/2016/06/8866bb53ea5041559a12d7352f4e81b6.jpg?date=1589186230,RG,2013,3342,2500,1/100,4.4,150,168.36
"HGUC 机动战士高达UC & 机动战士高达UC 0094 Across The Sky,  RGM-89D杰刚D型 Pico Altidore Custom ",https://r.hpoi.net/gk/cover/n/2017/11/1cfd0bceb57c4dd094aa7cd92f163a92.jpg?date=1585817443,MG,2017,3335,1600,1/100,3.33,96,67.69
HG00#68 1/144 剧场版 机动战士高达00：先驱者的觉醒 GN-011 妖天使高达,https://r.hpoi.net/gk/cover/n/2021/01/40a95f87d1884f23be4e7c3fdee1aa20.jpg?date=1609751526,SD,2015,3323,1944,1/144,4.13,116.64,132.23
GUNDAM FIX FIGURATION METAL COMPOSITE ＃1003 精神力高达Mk-II,https://r.hpoi.net/gk/cover/n/2015/07/d9d6ec41c4444ee7b0668615721b54d4.jpg?date=1552016060,MG,2008,3320,14040,1/100,4.2,842.4,1266.44
EVA LMHG EVA初号机 输送台仕様,https://r.hpoi.net/gk/cover/n/2015/08/73b439d4d7e04a01867e5b944c28ba36.jpg?date=1439331603,NS,2015,3311,3780,1/100,3.33,226.8,373.99
HGRC 1/144 高达G之复国运动 YG-111 G-Self高达(完美背包装备型),https://r.hpoi.net/gk/cover/n/2020/12/0e388199ca3a4dad83b49f51cac6f45a.jpg?date=1607418212,HG,2015,3309,2700,1/100,4.28,162,196.66
