名称,图片,系列,出荷时间,游览人数,定价,比例,评分,参考价格,现价
MG 机动战士高达UC  RX-0 独角兽高达 OVA Ver.,https://r.hpoi.net/gk/cover/n/2020/04/12912a1578de4d948d9200b06d729bf9.jpg?date=1587106212,MG,2010,5730,5000,1/100,3.94,300,376.01
MG 高达前哨战 FA-010A 先行量产型全装甲ZZ Ver. Ka,https://r.hpoi.net/gk/cover/n/2020/12/1c4b32d202b147ecbb2b8a31768d84a2.jpeg?date=1607486068,MG,2020,5720,11000,1/100,4.48,660,688.75
HIRM   机动战士高达SEED ASTRAY 异端高达红色机,https://r.hpoi.net/gk/cover/n/2019/03/ff1748432a50462488cb2ee33f777b9b.jpg?date=1645588042,HIRM,2018,5715,13000,1/100,4.69,780,988.7
MG 新机动战记高达Ｗ 无尽的华尔兹 次代高达 艾比安高达,https://r.hpoi.net/gk/cover/n/2023/04/750484865dda4178872249e2870530ee.jpg?date=1681808753,HIRM,2011,5713,4800,1/100,4.32,288,249.11
MG 1/100 独角兽高达 Ver.Ka,https://r.hpoi.net/gk/cover/n/2015/07/8af0b97b69724690bcb2df8d5e91df95.jpg?date=1436340973,MG,2008,5676,5400,1/100,3.96,324,363.19
MG 1/100 新机动战记高达W 无尽的华尔兹 XXXG-01D 死神高达 EW ver.,https://r.hpoi.net/gk/cover/n/2015/07/dde8d4e5037441ae98ccd77aca4550bf.jpg?date=1587104961,MG,2010,5666,3800,1/100,4.12,228,353.05
PG #15 机动战士高达UC RX-0独角兽高达,https://r.hpoi.net/gk/cover/n/2019/08/9852a6979804473fb5fbf927e778910f.jpg?date=1565934380,PG,2015,5666,20000,1/100,4.72,1200,815.12
HGUC  ADVANCE OF Z 提坦斯的旗下 RX-124 TR-6高达［伍德沃特］,https://r.hpoi.net/gk/cover/n/2019/02/8d19789ad68a4fd3b8a08e6b4909c2ce.jpg?date=1620810253,HG,2021,5585,1980,1/100,4.63,118.8,125.46
MG  机动战士高达 雷霆宙域战线 高机动型渣古“精神感应渣古”  决战时刻,https://r.hpoi.net/gk/cover/n/2023/02/23ddd3e3df13463b94fb477ab39e474d.jpg?date=1677467317,MG,2023,5543,9350,1/100,4.23,561,922.21
MG 1/100 机动战士高达SEED VS ASTRAY  MBF-P02KAI 异端高达红色机改,https://r.hpoi.net/gk/cover/n/2015/07/b67ce7281b624ac19bcf0a636524eb66.jpg?date=1587028342,MG,2015,5524,5000,1/100,4.51,300,329.84
机娘计划 MS少女 高达前哨战 MSA-0011 S-高达,https://r.hpoi.net/gk/cover/n/2017/02/8f6028bd184e4ae3a2629e5f3db3549c.jpg?date=1596592817,其他,2017,5494,11000,1/100,4.59,660,656.22
HG 1/144 机动战士高达 铁血的奥尔芬斯 ASW-G-08 巴巴托斯高达,https://r.hpoi.net/gk/cover/n/2020/11/b8393c1f92134bb2aba891ea06fb3f2d.jpg?date=1606190201,HG,2015,5483,1080,1/144,3.94,64.8,53.93
"HGM 机动战士高达0083：星尘的回忆	RX-78GP03 高达试作3号机“石斛兰”",https://r.hpoi.net/gk/cover/n/2021/04/8a99f57c67dc45929863f0b2d027163b.jpg?date=1617342699,MG,2021,5466,1500,1/100,4.32,90,149.88
RG 机动战士高达独角兽(UC) RX-0 全武装型独角兽高达,https://r.hpoi.net/gk/cover/n/2018/12/8f2b8025f17d4ae39220a87f3ab3e1da.jpg?date=1619676539,MG,2018,5448,5400,1/100,4.58,324,419.89
HG 机动战士高达 铁血的奥尔芬斯 ASW-G-66 锡蒙利高达,https://r.hpoi.net/gk/cover/n/2016/01/35dbe945382643fc955936424d6aad8f.jpg?date=1606120207,HG,2016,5444,1296,1/144,4.5,77.76,114.98
HGGT 1/144 机动战士高达 雷霆宙域 RGM-79 吉姆 雷霆宙域,https://r.hpoi.net/gk/cover/n/2016/02/37318d44fd754509b008aefd30ea518a.jpg?date=1590134478,HG,2013,5429,1944,1/100,4.4,116.64,101.26
NXEDGE STYLE [MS UNIT] 飞翼高达零,https://r.hpoi.net/gk/cover/n/2015/07/a2c89dbb6c7e459b91889bdcd8e02212.jpg?date=1436193761,NS,2015,5426,2700,1/100,4.45,162,224.9
HG 机动武斗传G高达   诺贝尔高达（狂战士模式）,https://r.hpoi.net/gk/cover/n/2022/08/add540181567463fbe50464771dcaa74.png?date=1659602957,HG,2022,5395,1650,1/144,4.71,99,87.24
BB,https://r.hpoi.net/gk/cover/n/2015/07/ac2293da846f452ea94c7f74f365c731.jpg?date=1436244450,SD,1992,5371,2808,1/100,5,168.48,118.1
HGGT 机动战士高达 雷霆宙域 MS-05B  扎古Ｉ“旧扎古”雷霆宙域,https://r.hpoi.net/gk/cover/n/2015/08/0e4774617aab425ca38280a70cfe1cfe.jpg?date=1590134340,HG,2015,5330,1800,1/144,4.29,108,115.42
MG 机动战士高达 逆袭的夏亚 MSN-04 沙扎比 Ver.Ka［特殊涂层版］,https://r.hpoi.net/gk/cover/n/2019/01/213326ac4d004f7e945890bef4d96da1.jpg?date=1588834520,MG,2018,5313,18000,1/100,4.61,1080,1531.73
MG 1/100 机动战士高达00 先驱者的觉醒 GNT-0000 00 Qan[T] （00量子型） ,https://r.hpoi.net/gk/cover/n/2015/07/f6ffa09f60f9472fb1b42cedadaf28b0.jpg?date=1587106713,其他,2010,5291,4500,1/100,4.24,270,295.1
Figure-rise Standard 龙珠超 布罗利 超级赛亚人布罗利全功率,https://r.hpoi.net/gk/cover/n/2019/01/417338afa0984d9db0a4bef03cba909f.jpg?date=1621908672,RG,2019,5262,4800,1/100,3.6,288,239.72
MG  机动战士高达00V   量子型00高达 全刃式,https://r.hpoi.net/gk/cover/n/2020/05/191ea0758c034ac097f29ed8112e7ba8.jpg?date=1679553209,HG,2018,5260,5500,1/100,4.61,330,429.62
MG 1/100 机动战士高达SEED  GAT-X105 翔翼型强袭高达,https://r.hpoi.net/gk/cover/n/2015/07/ec768fc71e264502ab073c79b116b192.jpg?date=1657615423,SD,2008,5201,4104,1/100,4.25,246.24,405.84
HG 机动战士高达SEED DESTINY ASTRAY B   异端高达蓝色机二型L,https://r.hpoi.net/gk/cover/n/2023/07/d08f995bace848b0a7908938ddaf118f.jpg?date=1689733925,MG,2015,5180,1836,1/144,3.92,110.16,143.98
MG  机动战士Z高达 力克·戴亚斯（克瓦特罗专用）,https://r.hpoi.net/gk/cover/n/2023/01/7a16e5a465cb4a0fa01aa3f6fbd2ea7c.jpg?date=1672977385,MG,2004,5165,3600,1/100,4.18,216,327.92
MG 1/100 机动战士高达 THE ORIGIN RX-78-2 高达,https://r.hpoi.net/gk/cover/n/2020/04/d31b6a56d5844ee187a2c899d734c9b2.jpeg?date=1587967067,MG,2015,5145,4500,1/100,4.51,270,379.15
1/100高达SEED DESTINY系列 机动战士高达SEED DESTINY ZGMF-X23S 救世主高达,https://r.hpoi.net/gk/cover/n/2015/07/6d281aecfa7f4850b6c7fa59cab2310a.jpg?date=1594953138,MG,2006,5142,2730,1/100,4,163.8,224.43
PG 机动战士高达SEED GAT-X105 强袭高达,https://r.hpoi.net/gk/cover/n/2015/07/9289c3dfde024bb4b1977d6b328d55eb.jpg?date=1668496484,RG,2015,5142,14000,1/60,4.78,840,710.28
HG 1/144 机动战士高达 铁血的奥尔芬斯第二季 ASW-G-08 巴巴托斯高达 天狼座,https://r.hpoi.net/gk/cover/n/2020/11/4e6d696c7108422f9dcbf1d1a1d27578.jpg?date=1606122292,RG,2016,5109,1296,1/100,3.92,77.76,86.65
"ＭＧ 1/100 机动战士高达00V战记 	GNT-0000/FS 量子型00全刃式［特别涂装版］",https://r.hpoi.net/gk/cover/n/2019/03/8a2d303dd92d43a5875991193274baf8.jpg?date=1588930032,PG,2019,5080,11000,1/100,4.81,660,588.63
HGBF 高达创战者TRY  R强人,https://r.hpoi.net/gk/cover/n/2016/02/967c5f7cd20d4239aebcd249631ce853.jpg?date=1688525652,HG,2023,5035,1980,1/100,3.75,118.8,115.28
MG 机动战士Z高达 百式 2.0版本,https://r.hpoi.net/gk/cover/n/2020/04/ad2791a1124b4a3fb0586ef40eac6c7c.jpg?date=1639033443,MG,2015,5033,6800,1/100,4.67,408,611.7
MG  机动战士高达SEED DESTINY   巨剑型脉冲高达,https://r.hpoi.net/gk/cover/n/2022/12/e8388e4204ea45c081a766781d19023a.jpg?date=1669952726,SD,2023,5015,4950,1/100,4.5,297,422.86
HG00#64 1/144 机动战士高达00V战记 GN-001/hs-A01D 雪崩型能天使高达(突进装备),https://r.hpoi.net/gk/cover/n/2021/01/6d54df9e986848f8b80967f3f40bd82e.jpg?date=1609748423,HG,2015,5015,2160,1/144,4.32,129.6,93
RG 机动战士高达独角兽(UC) RX-0[N] 独角兽高达2号机 报丧女妖?命运女神,https://r.hpoi.net/gk/cover/n/2021/04/cd235bf2ad734550839d3b8f1718760d.jpg?date=1619675797,MG,2018,5005,4000,1/144,4.4,240,312.66
MG  新机动战记高达W 无尽的华尔兹 艾比安高达 [交叉对比色/ 透明白],https://r.hpoi.net/gk/cover/n/2023/05/5f83ffb570dc41fbaac12bad36ee38e6.png?date=1684725741,MG,2023,4993,4200,1/100,3.86,252,183.3
HGIBO 机动战士高达 铁血的奥尔芬斯  ASW-G-11 古辛高达,https://r.hpoi.net/gk/cover/n/2020/11/ff81a999a6ba4b24822112d06fe50d46.jpg?date=1605864961,FRL,2015,4983,1296,1/100,4.78,77.76,72.7
LMHG EVA二号机 破Ver.,https://r.hpoi.net/gk/cover/n/2015/08/afb28a4f8df24ead851b12303a0977c5.jpg?date=1439502936,HG,2015,4966,5184,1/100,4.4,311.04,482.26
